order_id,so_number,invoice_symbol,invoice_number,order_date,customer_code,warehouse_code,payment_method,notes,total_amount,total_quantity,processing_status,created_at,updated_at
34,BH25.0030,C25TTN,32,2025-01-13,KH-00019,,,,142321668.0,82,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
35,BH25.0029,C25TTN,31,2025-01-13,KH-00019,,,,165050926.0,96,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
36,BH25.0032,C25TTN,34,2025-01-13,KH-00023,,,,569296292.0,380,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
37,BH25.0037,C25TTN,40,2025-01-15,KH-00022,,,,60000000.0,50,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
38,BH25.0038,C25TTN,41,2025-01-15,KH-00018,,,,144000000.0,120,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
39,BH25.0039,C25TTN,42,2025-01-15,KH-00028,,,,69020000.0,56,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
40,BH25.0046,C25TTN,49,2025-01-16,KH-00032,,,,3870370.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
41,BH25.0045,C25TTN,48,2025-01-16,KH-00031,,,,9814816.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
42,BH25.0043,C25TTN,46,2025-01-16,KH-00006,,,,40131844.0,26,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
43,BH25.0044,C25TTN,47,2025-01-16,KH-00006,,,,52962962.0,26,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
44,BH25.0041,C25TTN,44,2025-01-16,KH-00030,,,,1361637038.0,614,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
45,BH25.0040,C25TTN,43,2025-01-16,KH-00029,,,,8111112.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
46,BH25.0042,C25TTN,45,2025-01-16,KH-00006,,,,13771480.0,10,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
47,BH25.0047,C25TTN,50,2025-01-17,KH-00033,,,,22129630.0,10,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
48,BH25.0048,C25TTN,51,2025-01-18,KH-00034,,,,23500000.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
49,BH25.0049,C25TTN,52,2025-01-18,KH-00035,,,,30000000.0,24,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
50,BH25.0050,C25TTN,53,2025-01-20,KH-00036,,,,29962962.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
51,BH25.0051,C25TTN,54,2025-01-20,KH-00037,,,,7759260.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
52,BH25.0052,C25TTN,55,2025-01-20,KH-00038,,,,64700000.0,54,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
53,BH25.0053,C25TTN,56,2025-01-21,KH-00039,,,,307407390.0,120,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
54,BH25.0054,C25TTN,57,2025-01-21,KH-00040,,,,370800000.0,206,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
55,BH25.0058,C25TTN,61,2025-01-22,KH-00036,,,,32722222.0,6,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
56,BH25.0057,C25TTN,60,2025-01-22,KH-00043,,,,4720000.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
57,BH25.0055,C25TTN,58,2025-01-22,KH-00041,,,,22129630.0,10,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
58,BH25.0056,C25TTN,59,2025-01-22,KH-00042,,,,46631478.0,30,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
59,BH25.0059,C25TTN,62,2025-01-23,KH-00044,,,,58500000.0,52,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
60,BH25.0060,C25TTN,63,2025-01-23,KH-00045,,,,36222224.0,8,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
61,BH25.0061,C25TTN,64,2025-01-24,KH-00046,,,,211354564.0,136,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
62,BH25.0062,C25TTN,65,2025-02-04,KH-00047,,,,72360000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
63,BH25.0063,C25TTN,66,2025-02-05,KH-00048,,,,8851852.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
64,BH25.0069,C25TTN,73,2025-02-07,KH-00052,,,,4425926.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
65,BH25.0071,C25TTN,75,2025-02-07,KH-00053,,,,7388888.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
66,BH25.0070,C25TTN,74,2025-02-07,KH-00027,,,,23040000.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
67,BH25.0068,C25TTN,72,2025-02-07,KH-00051,,,,9222222.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
68,BH25.0066,C25TTN,70,2025-02-07,KH-00050,,,,4611112.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
69,BH25.0065,C25TTN,69,2025-02-07,KH-00049,,,,40324064.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
70,BH25.0064,C25TTN,68,2025-02-07,KH-00049,,,,77000000.0,14,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
71,BH25.0067,C25TTN,71,2025-02-07,KH-00036,,,,29962962.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
72,BH25.0083,C25TTN,87,2025-02-10,KH-00062,,,,143680000.0,136,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
73,BH25.0085,C25TTN,89,2025-02-10,KH-00064,,,,120240000.0,102,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
74,BH25.0086,C25TTN,90,2025-02-10,KH-00065,,,,95180000.0,80,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
75,BH25.0084,C25TTN,88,2025-02-10,KH-00063,,,,41230296.0,16,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
76,BH25.0088,C25TTN,92,2025-02-10,KH-00067,,,,65120000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
77,BH25.0089,C25TTN,93,2025-02-10,KH-00068,,,,5200000.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
78,BH25.0082,C25TTN,86,2025-02-10,KH-00061,,,,27460000.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
79,BH25.0087,C25TTN,91,2025-02-10,KH-00066,,,,68780000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
80,BH25.0081,C25TTN,85,2025-02-10,KH-00060,,,,51100000.0,42,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
81,BH25.0080,C25TTN,84,2025-02-10,KH-00059,,,,97360000.0,84,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
82,BH25.0079,C25TTN,83,2025-02-10,KH-00058,,,,48000000.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
83,BH25.0078,C25TTN,82/991,2025-02-10,KH-00057,,,,305110304.0,298,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
84,BH25.0077,C25TTN,81,2025-02-10,KH-00056,,,,66180000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
85,BH25.0076,C25TTN,80,2025-02-10,KH-00014,,,,62660000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
86,BH25.0075,C25TTN,79,2025-02-10,KH-00024,,,,71400000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
87,BH25.0074,C25TTN,78,2025-02-10,KH-00055,,,,9966666.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
88,BH25.0073,C25TTN,77,2025-02-10,KH-00054,,,,4796296.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
89,BH25.0072,C25TTN,76,2025-02-10,KH-00010,,,,97042568.0,76,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
90,BH25.0098,C25TTN,99,2025-02-11,KH-00006,,,,61521474.0,38,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
91,BH25.0097,C25TTN,98,2025-02-11,KH-00006,,,,8148148.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
92,BH25.0096,C25TTN,97,2025-02-11,KH-00006,,,,64746108.0,34,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
93,BH25.0095,C25TTN,96,2025-02-11,KH-00006,,,,24899626.0,14,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
94,BH25.0092,C25TTN,103,2025-02-11,KH-00019,,,,293940370.0,190,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
95,BH25.0093,C25TTN,94,2025-02-11,KH-00048,,,,8851852.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
96,BH25.0091,C25TTN,101,2025-02-11,KH-00006,,,,47771846.0,28,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
97,BH25.0090,C25TTN,100,2025-02-11,KH-00006,,,,30076292.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
98,BH25.0094,C25TTN,95,2025-02-11,KH-00069,,,,11074074.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
99,BH25.0099,C25TTN,104,2025-02-13,KH-00070,,,,17703704.0,8,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
100,BH25.0116,C25TTN,121,2025-02-14,KH-00084,,,,35720000.0,30,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
101,BH25.0114,C25TTN,119,2025-02-14,KH-00022,,,,23180000.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
102,BH25.0115,C25TTN,120,2025-02-14,KH-00083,,,,78900000.0,68,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
103,BH25.0117,C25TTN,122,2025-02-14,KH-00085,,,,47520000.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
104,BH25.0113,C25TTN,118,2025-02-14,KH-00082,,,,87200000.0,62,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
105,BH25.0119,C25TTN,124,2025-02-14,KH-00087,,,,48400000.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
106,BH25.0120,C25TTN,125,2025-02-14,KH-00088,,,,75985286.0,62,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
107,BH25.0121,C25TTN,126,2025-02-14,KH-00027,,,,2300000.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
108,BH25.0122,C25TTN,127,2025-02-14,KH-00089,,,,276785286.0,230,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
109,BH25.0118,C25TTN,123,2025-02-14,KH-00086,,,,67295148.0,62,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
110,BH25.0112,C25TTN,117,2025-02-14,KH-00081,,,,90440000.0,80,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
111,BH25.0101,C25TTN,106,2025-02-14,KH-00072,,,,6900000.0,6,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
112,BH25.0110,C25TTN,115,2025-02-14,KH-00079,,,,120292860.0,100,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
113,BH25.0100,C25TTN,105,2025-02-14,KH-00071,,,,7018518.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
114,BH25.0102,C25TTN,107,2025-02-14,KH-00006,,,,29651104.0,22,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
115,BH25.0103,C25TTN,108,2025-02-14,KH-00043,,,,23500000.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
116,BH25.0104,C25TTN,109,2025-02-14,KH-00073,,,,70120000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
117,BH25.0111,C25TTN,116,2025-02-14,KH-00080,,,,120040000.0,100,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
118,BH25.0106,C25TTN,111,2025-02-14,KH-00075,,,,156180000.0,120,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
119,BH25.0107,C25TTN,112,2025-02-14,KH-00076,,,,114380000.0,104,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
120,BH25.0108,C25TTN,113,2025-02-14,KH-00077,,,,70040000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
121,BH25.0109,C25TTN,114,2025-02-14,KH-00078,,,,26180000.0,22,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
122,BH25.0105,C25TTN,110,2025-02-14,KH-00074,,,,30862962.0,32,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
123,BH25.0123,C25TTN,128,2025-02-15,KH-00090,,,,17037038.0,8,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
124,BH25.0134,C25TTN,139,2025-02-17,KH-00098,,,,116180000.0,100,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
125,BH25.0140,C25TTN,145,2025-02-17,KH-00102,,,,139400000.0,120,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
126,BH25.0139,C25TTN,144,2025-02-17,KH-00101,,,,2360000.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
127,BH25.0138,C25TTN,143,2025-02-17,KH-00100,,,,4800000.0,2,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
128,BH25.0137,C25TTN,142,2025-02-17,KH-00099,,,,87420000.0,78,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
129,BH25.0136,C25TTN,141,2025-02-17,KH-00004,,,,46300000.0,38,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
130,BH25.0135,C25TTN,140,2025-02-17,KH-00098,,,,187380000.0,160,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
131,BH25.0133,C25TTN,138,2025-02-17,KH-00078,,,,42502962.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
132,BH25.0130,C25TTN,135,2025-02-17,KH-00095,,,,69460000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
133,BH25.0131,C25TTN,136,2025-02-17,KH-00096,,,,48680000.0,42,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
134,BH25.0129,C25TTN,134,2025-02-17,KH-00094,,,,46660000.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
135,BH25.0128,C25TTN,133,2025-02-17,KH-00068,,,,55840000.0,64,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
136,BH25.0127,C25TTN,132,2025-02-17,KH-00093,,,,67140000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
137,BH25.0126,C25TTN,131,2025-02-17,KH-00092,,,,28520000.0,24,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
138,BH25.0125,C25TTN,130,2025-02-17,KH-00091,,,,283038046.0,154,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
139,BH25.0124,C25TTN,129,2025-02-17,KH-00023,,,,522614814.0,368,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
140,BH25.0132,C25TTN,137,2025-02-17,KH-00097,,,,79165286.0,64,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
141,BH25.0142,C25TTN,148,2025-02-18,KH-00069,,,,11074074.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
142,BH25.0141,C25TTN,146,2025-02-18,KH-00027,,,,12500000.0,10,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
143,BH25.0157,C25TTN,163,2025-02-19,KH-00116,,,,114180000.0,100,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
144,BH25.0158,C25TTN,164,2025-02-19,KH-00117,,,,47920000.0,42,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
145,BH25.0155,C25TTN,161,2025-02-19,KH-00114,,,,45100000.0,32,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
146,BH25.0154,C25TTN,160,2025-02-19,KH-00113,,,,35580000.0,30,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
147,BH25.0153,C25TTN,159,2025-02-19,KH-00112,,,,70360000.0,62,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
148,BH25.0152,C25TTN,158,2025-02-19,KH-00111,,,,52080000.0,46,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
149,BH25.0151,C25TTN,157,2025-02-19,KH-00110,,,,39500000.0,34,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
150,BH25.0156,C25TTN,162,2025-02-19,KH-00115,,,,64720000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
151,BH25.0149,C25TTN,155,2025-02-19,KH-00108,,,,71800000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
152,BH25.0148,C25TTN,154,2025-02-19,KH-00076,,,,45938146.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
153,BH25.0147,C25TTN,153,2025-02-19,KH-00107,,,,43520000.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
154,BH25.0146,C25TTN,152,2025-02-19,KH-00106,,,,176720000.0,140,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
155,BH25.0145,C25TTN,151,2025-02-19,KH-00105,,,,69820000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
156,BH25.0144,C25TTN,150,2025-02-19,KH-00104,,,,130670572.0,100,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
157,BH25.0143,C25TTN,149,2025-02-19,KH-00103,,,,37361112.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
158,BH25.0150,C25TTN,156,2025-02-19,KH-00109,,,,23800000.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
159,BH25.0172,C25TTN,178,2025-02-20,KH-00004,,,,48080000.0,42,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
160,BH25.0173,C25TTN,179,2025-02-20,KH-00129,,,,120615858.0,102,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
161,BH25.0174,C25TTN,180,2025-02-20,KH-00130,,,,73200000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
162,BH25.0175,C25TTN,181,2025-02-20,KH-00131,,,,70180000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
163,BH25.0179,C25TTN,185,2025-02-20,KH-00097,,,,77480000.0,66,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
164,BH25.0178,C25TTN,184,2025-02-20,KH-00078,,,,84905924.0,72,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
165,BH25.0171,C25TTN,177,2025-02-20,KH-00128,,,,93120000.0,80,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
166,BH25.0180,C25TTN,186,2025-02-20,KH-00132,,,,147480000.0,122,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
167,BH25.0181,C25TTN,187,2025-02-20,KH-00133,,,,35860000.0,30,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
168,BH25.0177,C25TTN,183,2025-02-20,KH-00043,,,,33080000.0,28,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
169,BH25.0170,C25TTN,176,2025-02-20,KH-00127,,,,96480000.0,80,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
170,BH25.0176,C25TTN,182,2025-02-20,KH-00034,,,,42000000.0,36,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
171,BH25.0168,C25TTN,174,2025-02-20,KH-00126,,,,75940000.0,64,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
172,BH25.0167,C25TTN,173,2025-02-20,KH-00125,,,,43720000.0,34,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
173,BH25.0166,C25TTN,172,2025-02-20,KH-00124,,,,72440000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
174,BH25.0165,C25TTN,171,2025-02-20,KH-00123,,,,34780000.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
175,BH25.0164,C25TTN,170,2025-02-20,KH-00122,,,,57040000.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
176,BH25.0163,C25TTN,169,2025-02-20,KH-00121,,,,51055858.0,38,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
177,BH25.0162,C25TTN,168,2025-02-20,KH-00120,,,,61485286.0,62,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
178,BH25.0161,C25TTN,167,2025-02-20,KH-00119,,,,56745116.0,48,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
179,BH25.0160,C25TTN,166,2025-02-20,KH-00048,,,,8851852.0,4,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
180,BH25.0159,C25TTN,165,2025-02-20,KH-00118,,,,14722222.0,6,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
181,BH25.0169,C25TTN,175,2025-02-20,KH-00024,,,,121120000.0,100,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
182,BH25.0182,C25TTN,188,2025-02-21,KH-00134,,,,257219382.0,162,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
183,BH25.0183,C25TTN,189,2025-02-21,KH-00038,,,,148658070.0,118,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
184,BH25.0184,C25TTN,190,2025-02-21,KH-00019,,,,98930740.0,60,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
185,BH25.0209,C25TTN,215,2025-02-22,KH-00150,,,,29165286.0,18,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
186,BH25.0208,C25TTN,214,2025-02-22,KH-00149,,,,71535858.0,46,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
187,BH25.0205,C25TTN,211,2025-02-22,KH-00146,,,,37280000.0,28,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
188,BH25.0206,C25TTN,212,2025-02-22,KH-00147,,,,129910084.0,106,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
189,BH25.0210,C25TTN,216,2025-02-22,KH-00148,,,,14600000.0,12,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
190,BH25.0207,C25TTN,213,2025-02-22,KH-00148,,,,28245286.0,20,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
191,BH25.0211,C25TTN,217,2025-02-22,KH-00151,,,,84600000.0,72,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
192,BH25.0218,C25TTN,224,2025-02-22,KH-00097,,,,107445924.0,90,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
193,BH25.0213,C25TTN,219,2025-02-22,KH-00153,,,,67800000.0,64,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
194,BH25.0214,C25TTN,220,2025-02-22,KH-00154,,,,47280000.0,42,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
195,BH25.0215,C25TTN,221,2025-02-22,KH-00078,,,,41405924.0,40,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
196,BH25.0216,C25TTN,222,2025-02-22,KH-00155,,,,80124234.0,82,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
197,BH25.0217,C25TTN,223,2025-02-22,KH-00067,,,,72662962.0,62,pending,2026-05-20 04:20:40,2026-05-20 04:20:40
